strategy,iteration,latency_ms
FILE_COPY,1,21180.000
WAL_LOG,1,780.000
FILE_COPY,2,15060.000
WAL_LOG,2,840.000
FILE_COPY,3,22280.000
WAL_LOG,3,9280.000
WAL_LOG,4,630.000
FILE_COPY,4,25000.000
FILE_COPY,5,21190.000
WAL_LOG,5,880.000
WAL_LOG,6,820.000
FILE_COPY,6,11680.000
WAL_LOG,7,1000.000
FILE_COPY,7,19500.000
WAL_LOG,8,630.000
FILE_COPY,8,12820.000
WAL_LOG,9,1310.000
FILE_COPY,9,23540.000
FILE_COPY,10,23260.000
WAL_LOG,10,630.000
WAL_LOG,11,640.000
FILE_COPY,11,11310.000
WAL_LOG,12,730.000
FILE_COPY,12,20270.000
WAL_LOG,13,770.000
FILE_COPY,13,16390.000
WAL_LOG,14,680.000
FILE_COPY,14,22120.000
FILE_COPY,15,11640.000
WAL_LOG,15,740.000
WAL_LOG,16,840.000
FILE_COPY,16,21830.000
FILE_COPY,17,12750.000
WAL_LOG,17,700.000
WAL_LOG,18,640.000
FILE_COPY,18,24540.000
WAL_LOG,19,2600.000
FILE_COPY,19,22050.000
FILE_COPY,20,13090.000
WAL_LOG,20,730.000
